ID,Study
-1,example
0,CheXpert-v1.0/train/patient00001/study1
6,CheXpert-v1.0/train/patient00007/study1
9,CheXpert-v1.0/train/patient00008/study2
12,CheXpert-v1.0/train/patient00011/study10
17,CheXpert-v1.0/train/patient00011/study3
18,CheXpert-v1.0/train/patient00011/study5
20,CheXpert-v1.0/train/patient00011/study7
26,CheXpert-v1.0/train/patient00017/study1
45,CheXpert-v1.0/train/patient00027/study1
56,CheXpert-v1.0/train/patient00039/study10
66,CheXpert-v1.0/train/patient00044/study1
67,CheXpert-v1.0/train/patient00044/study2
68,CheXpert-v1.0/train/patient00044/study4
69,CheXpert-v1.0/train/patient00044/study6
70,CheXpert-v1.0/train/patient00045/study1
71,CheXpert-v1.0/train/patient00046/study3
79,CheXpert-v1.0/train/patient00050/study1
93,CheXpert-v1.0/train/patient00061/study2
103,CheXpert-v1.0/train/patient00067/study2
122,CheXpert-v1.0/train/patient00069/study31
163,CheXpert-v1.0/train/patient00081/study1
187,CheXpert-v1.0/train/patient00098/study6
192,CheXpert-v1.0/train/patient00100/study3
202,CheXpert-v1.0/train/patient00108/study1
206,CheXpert-v1.0/train/patient00111/study3
209,CheXpert-v1.0/train/patient00114/study10
210,CheXpert-v1.0/train/patient00114/study11
211,CheXpert-v1.0/train/patient00114/study12
218,CheXpert-v1.0/train/patient00114/study3
222,CheXpert-v1.0/train/patient00114/study9
225,CheXpert-v1.0/train/patient00118/study1
226,CheXpert-v1.0/train/patient00118/study2
228,CheXpert-v1.0/train/patient00119/study1
229,CheXpert-v1.0/train/patient00119/study2
236,CheXpert-v1.0/train/patient00122/study2
238,CheXpert-v1.0/train/patient00122/study5
239,CheXpert-v1.0/train/patient00122/study6
240,CheXpert-v1.0/train/patient00122/study7
242,CheXpert-v1.0/train/patient00123/study2
243,CheXpert-v1.0/train/patient00123/study3
254,CheXpert-v1.0/train/patient00128/study16
283,CheXpert-v1.0/train/patient00138/study6
285,CheXpert-v1.0/train/patient00138/study8
368,CheXpert-v1.0/train/patient00171/study7
401,CheXpert-v1.0/train/patient00191/study1
402,CheXpert-v1.0/train/patient00192/study1
423,CheXpert-v1.0/train/patient00207/study1
441,CheXpert-v1.0/train/patient00211/study2
449,CheXpert-v1.0/train/patient00219/study1
450,CheXpert-v1.0/train/patient00220/study1
479,CheXpert-v1.0/train/patient00237/study3
496,CheXpert-v1.0/train/patient00250/study1
497,CheXpert-v1.0/train/patient00250/study10
498,CheXpert-v1.0/train/patient00250/study11
499,CheXpert-v1.0/train/patient00250/study2
500,CheXpert-v1.0/train/patient00250/study3
501,CheXpert-v1.0/train/patient00250/study4
502,CheXpert-v1.0/train/patient00250/study5
503,CheXpert-v1.0/train/patient00250/study7
504,CheXpert-v1.0/train/patient00250/study9
535,CheXpert-v1.0/train/patient00260/study1
558,CheXpert-v1.0/train/patient00277/study11
560,CheXpert-v1.0/train/patient00277/study13
568,CheXpert-v1.0/train/patient00280/study2
595,CheXpert-v1.0/train/patient00291/study4
608,CheXpert-v1.0/train/patient00298/study1
618,CheXpert-v1.0/train/patient00307/study3
621,CheXpert-v1.0/train/patient00310/study1
623,CheXpert-v1.0/train/patient00310/study11
668,CheXpert-v1.0/train/patient00317/study1
679,CheXpert-v1.0/train/patient00319/study4
685,CheXpert-v1.0/train/patient00325/study1
686,CheXpert-v1.0/train/patient00325/study3
688,CheXpert-v1.0/train/patient00326/study1
693,CheXpert-v1.0/train/patient00326/study15
831,CheXpert-v1.0/train/patient00411/study1
843,CheXpert-v1.0/train/patient00420/study1
994,CheXpert-v1.0/train/patient00477/study1
995,CheXpert-v1.0/train/patient00477/study3
996,CheXpert-v1.0/train/patient00477/study4
1011,CheXpert-v1.0/train/patient00487/study3
1078,CheXpert-v1.0/train/patient00528/study1
1087,CheXpert-v1.0/train/patient00535/study2
1104,CheXpert-v1.0/train/patient00543/study5
